,session_id,customer_id,login_date,projects_added,likes_given,comment_given,inactive_status,bug_occured,session_projects_added,session_likes_given,session_comments_given,inactive_duration,bugs_in_session,session_duration
0,624205,80746,10/30/19,False,True,True,True,False,0,24,3,1146,0,1564
1,624241,24520,10/30/19,True,True,True,True,False,2,3,5,133,0,1766
2,111002,32047,10/30/19,True,True,True,True,False,1,5,5,1571,0,2230
3,545113,23404,10/30/19,True,True,True,False,False,1,10,21,0,0,633
4,750269,40235,10/30/19,True,True,False,True,False,3,16,0,1405,0,1679
5,744943,73245,10/30/19,True,True,True,True,True,3,27,5,1746,4,1490
6,922001,12407,10/30/19,True,False,True,False,False,5,0,5,0,0,1329
7,823895,29375,10/30/19,False,False,True,True,False,0,0,5,2474,0,1875
8,490096,40572,10/30/19,True,True,False,False,False,1,25,0,0,0,290
9,919319,23404,10/29/19,True,True,False,True,False,2,14,0,2031,0,1957
10,696187,98653,10/29/19,False,False,True,True,False,0,0,1,930,0,1374
11,362558,40572,10/29/19,True,True,True,True,False,3,19,3,2148,0,187
12,175035,87323,10/29/19,True,True,True,True,False,2,4,1,672,0,1138
13,361637,51243,10/29/19,True,True,False,False,False,3,24,0,0,0,39
14,730021,23083,10/29/19,True,True,True,True,False,1,3,2,2047,0,1736
15,920267,38459,10/29/19,False,True,True,False,False,0,15,3,0,0,1188
16,935820,23985,10/28/19,True,True,True,True,False,1,26,1,2402,0,1001
17,889461,73524,10/28/19,True,True,True,True,False,3,10,1,703,0,61
18,614943,14354,10/28/19,True,True,True,False,False,2,21,4,0,0,505
19,590435,43549,10/28/19,True,True,True,False,True,1,5,1,0,3,878
20,211059,39475,10/28/19,True,True,True,False,False,2,4,1,0,0,378
21,938988,40572,10/28/19,False,True,True,True,False,0,15,13,1078,0,856
22,636263,87323,10/28/19,True,True,True,False,True,1,8,5,0,2,1346
23,311965,51243,10/28/19,True,True,True,False,False,1,20,3,0,0,2114
24,997629,12496,10/28/19,True,True,True,False,False,2,24,9,0,0,2381
25,308860,43057,10/28/19,True,True,True,False,True,1,20,4,0,1,1610
26,601606,87265,10/27/19,True,True,True,False,True,2,15,2,0,2,1054
27,485200,14354,10/27/19,True,True,True,True,False,1,15,4,1437,0,76
28,440820,29375,10/27/19,False,False,True,True,False,0,0,2,639,0,1173
29,310751,40572,10/27/19,True,True,True,True,True,1,25,1,1107,3,32
30,156599,87323,10/27/19,True,True,True,True,True,6,24,5,2160,2,2069
31,339866,23404,10/27/19,False,False,True,True,True,0,0,1,1919,5,613
32,43336,40235,10/27/19,True,True,True,True,True,1,19,1,2145,3,299
33,235583,96254,10/26/19,True,True,True,True,True,1,12,4,2394,4,1983
34,361427,87265,10/26/19,True,False,True,True,False,2,0,3,312,0,1730
35,862128,23404,10/26/19,True,False,True,True,False,2,0,2,1120,0,95
36,541312,40572,10/26/19,False,True,True,True,True,0,11,3,1779,3,283
37,557353,34574,10/26/19,True,False,False,False,True,3,0,0,0,2,1759
38,243941,40235,10/26/19,True,True,True,False,False,2,15,1,0,0,2313
39,652409,51243,10/26/19,False,True,True,False,True,0,18,5,0,3,127
40,438584,23083,10/26/19,True,True,True,True,True,3,24,4,1602,2,1421
41,418108,23404,10/26/19,True,True,False,False,False,1,2,0,0,0,1508
42,502502,40235,10/26/19,True,True,True,False,True,1,9,3,0,5,1521
43,940572,73245,10/26/19,True,True,True,True,False,1,26,3,1563,0,349
44,350315,12407,10/26/19,True,True,True,True,True,2,3,2,2274,3,2319
45,773611,51243,10/26/19,False,False,True,True,True,0,0,2,2017,5,335
46,999480,23083,10/26/19,False,False,True,True,False,0,0,1,1535,0,695
47,871478,38459,10/26/19,True,True,True,True,False,3,22,1,301,0,720
48,164827,23985,10/26/19,True,True,True,True,True,1,20,1,1297,3,1981
49,554554,40572,10/26/19,True,True,True,True,True,1,5,4,1836,5,999
50,957147,87323,10/26/19,True,True,False,False,True,2,14,0,0,2,451
51,504793,23404,10/26/19,True,True,False,False,True,3,27,0,0,5,1778
52,636836,40235,10/26/19,True,True,True,True,False,3,14,4,1741,0,1910
53,864048,96254,10/26/19,False,True,True,False,True,0,14,5,0,1,1670
54,309053,32047,10/26/19,False,True,False,True,False,0,11,0,360,0,1492
55,829983,29356,10/25/19,True,True,True,True,False,1,23,3,646,0,505
56,629983,40235,10/25/19,False,True,True,False,False,0,8,5,0,0,541
57,807640,73245,10/25/19,False,True,True,True,False,0,1,3,2070,0,841
58,710050,14354,10/25/19,True,True,True,False,False,2,16,5,0,0,323
59,793468,98653,10/25/19,True,True,False,False,False,2,18,0,0,0,1152
60,927726,40572,10/25/19,True,True,True,False,False,2,9,5,0,0,2381
61,848849,87323,10/24/19,True,True,True,False,False,3,2,5,0,0,436
62,74484,51243,10/24/19,False,True,True,False,False,0,20,5,0,0,10
